lines,point1,point2
0,"(183, 99)","(190, 332)"
1,"(190, 333)","(371, 304)"
2,"(461, 30)","(465, 587)"
3,"(462, 29)","(637, 78)"
4,"(671, 124)","(668, 286)"
5,"(673, 125)","(707, 131)"
6,"(491, 88)","(490, 318)"
7,"(490, 318)","(544, 308)"
8,"(714, 169)","(731, 169)"
9,"(732, 168)","(731, 293)"
